,element,GW,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_missed,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,value,total_points,threshold
0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
1,2,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
2,2,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,0,0
3,3,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
4,3,2,1,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,55,1,0
5,3,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
6,5,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
7,5,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,0,0
8,5,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,0,0
9,7,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
10,7,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
11,7,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
12,10,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
13,10,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
14,10,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
15,11,1,90,0,0,1,0,0,0,1,0,0,23,9.8,26.4,4.0,4.0,50,5,0
16,11,2,90,0,0,0,1,0,0,0,0,0,10,7.6,6.9,2.0,1.7,50,2,0
17,11,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
18,13,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
19,13,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
20,13,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
21,14,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
22,14,2,90,0,0,0,1,0,0,0,0,0,9,3.6,5.4,4.0,1.3,49,2,0
23,14,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,0,0
24,15,1,90,0,0,1,0,0,0,0,0,0,21,10.2,2.8,4.0,1.7,50,6,1
25,15,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
26,15,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
27,16,1,90,0,0,1,0,0,0,0,0,0,28,20.6,1.2,0.0,2.2,45,6,1
28,16,2,90,0,0,0,1,0,0,0,0,0,16,13.6,0.3,0.0,1.4,45,2,0
29,16,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
30,17,1,90,0,0,1,0,0,0,0,0,0,25,12.8,2.5,2.0,1.7,55,6,1
31,17,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
32,17,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
33,27,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
34,27,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,0,0
35,27,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,0,0
36,494,1,90,1,0,1,0,0,0,0,0,3,37,51.8,0.3,33.0,8.5,50,15,1
37,494,2,90,0,0,0,1,0,0,0,0,0,15,32.6,0.7,2.0,3.5,50,2,0
38,494,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,0,0
39,29,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
40,29,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
41,31,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
42,31,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
43,36,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
44,36,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
45,39,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
46,39,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
47,41,2,90,0,1,1,0,0,0,0,0,1,35,31.8,12.7,6.0,5.1,50,10,1
48,41,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
