,element,GW,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_missed,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,value,total_points,threshold
0,6,1,86,1,0,1,0,0,0,0,0,1,29,38.6,12.7,48.0,9.9,85,7,1
1,6,2,76,1,0,0,1,0,0,0,0,1,29,33.0,5.7,31.0,7.0,85,7,1
2,6,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,85,0,0
3,22,1,3,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,60,1,0
4,22,2,13,1,0,0,0,0,0,0,0,3,31,34.0,0.1,21.0,5.5,59,8,1
5,22,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,0,0
6,48,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,0
7,48,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,0
8,49,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,0
9,49,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,0,0
10,50,2,28,0,0,0,0,0,0,0,0,0,3,4.4,12.9,6.0,2.3,45,1,0
11,50,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
12,51,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
13,51,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
14,514,2,90,0,0,1,0,0,0,0,0,0,0,0.0,23.4,34.0,5.6,60,2,0
15,514,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,0
16,53,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
17,53,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
18,53,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,0,0
19,64,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
20,64,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
21,64,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,0,0
22,68,1,90,0,0,0,3,0,0,0,0,0,1,0.0,1.0,8.0,0.7,65,2,0
23,68,2,90,2,1,1,0,0,0,0,0,3,66,88.4,14.6,60.0,16.3,65,16,1
24,68,3,90,1,0,0,3,0,0,0,0,2,33,40.2,38.7,62.0,14.1,65,8,1
25,78,1,45,0,0,0,2,0,0,0,0,0,-3,1.2,0.3,32.0,3.4,55,1,0
26,78,2,89,1,0,1,0,0,0,0,0,2,27,34.8,11.3,23.0,6.9,55,8,1
