,element,GW,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_missed,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,value,total_points,threshold
0,8,1,90,0,0,1,0,0,0,0,0,1,29,14.0,0.0,0.0,1.4,50,7,1
1,8,2,90,0,0,0,1,0,0,0,0,0,18,18.0,0.0,0.0,1.8,50,2,0
2,8,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
3,527,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
4,527,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
5,527,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
6,547,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
7,12,2,90,0,0,1,0,0,0,0,0,2,38,32.2,0.0,0.0,3.2,45,13,1
8,12,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
9,28,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
10,28,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
11,32,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
12,32,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
13,35,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
14,35,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
15,70,1,90,0,0,0,3,0,0,0,0,0,12,11.6,0.0,0.0,1.2,45,1,0
16,70,2,90,0,0,1,0,0,0,0,0,0,22,4.2,0.0,0.0,0.4,45,6,1
17,70,3,90,0,0,0,3,0,0,0,0,0,10,8.4,0.0,0.0,0.8,45,1,0
18,503,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
19,503,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
20,503,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
21,528,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
22,528,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
23,528,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
24,96,2,90,0,0,0,4,0,0,0,0,0,13,22.6,0.0,0.0,2.3,55,1,0
25,96,3,90,0,0,0,1,0,0,0,0,0,8,2.4,0.0,0.0,0.2,55,2,0
26,99,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
27,99,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
28,101,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
29,101,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
30,101,3,90,0,0,0,3,0,0,0,0,0,7,4.2,0.0,0.0,0.4,49,1,0
31,112,1,90,0,0,0,1,0,0,0,0,0,12,10.4,0.0,0.0,1.0,50,2,0
32,112,2,90,0,0,0,2,0,0,0,0,0,16,18.2,0.0,0.0,1.8,50,2,0
33,112,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
34,548,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
35,126,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
36,126,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
37,126,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
38,128,1,90,0,0,1,0,0,0,0,0,3,31,41.4,0.0,0.0,4.1,50,10,1
39,128,2,90,0,0,0,1,0,0,0,0,0,13,14.4,0.0,0.0,1.4,50,3,0
40,128,3,90,0,0,0,2,0,0,0,0,0,13,21.8,0.0,0.0,2.2,50,2,0
41,151,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
42,151,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
43,151,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
44,157,1,90,0,0,1,0,0,0,0,0,1,32,38.6,0.0,0.0,3.9,50,8,1
45,157,2,90,0,0,0,2,0,0,0,0,0,15,13.8,0.0,0.0,1.4,50,1,0
46,157,3,90,0,0,0,1,0,0,0,0,0,8,3.8,0.0,0.0,0.4,50,2,0
47,167,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
48,167,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
49,167,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
50,171,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
51,171,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
52,171,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
53,183,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
54,183,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
55,183,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
56,186,1,90,0,0,0,3,0,0,0,0,0,11,18.2,0.0,0.0,1.8,45,1,0
57,186,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
58,186,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
59,516,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
60,516,2,90,0,0,0,4,0,0,0,0,0,17,24.4,0.0,0.0,2.4,45,1,0
61,516,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
62,217,1,90,0,0,1,0,0,0,0,0,0,21,12.2,0.0,0.0,1.2,55,6,1
63,217,2,90,0,0,0,2,0,0,0,0,0,15,31.6,0.0,0.0,3.2,55,2,0
64,217,3,90,0,0,0,2,0,0,0,0,0,15,0.0,0.0,0.0,0.0,55,2,0
65,223,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
66,223,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
67,223,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
68,194,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
69,194,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
70,194,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,0,0
71,208,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
72,208,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
73,208,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
74,213,1,90,0,0,0,4,0,0,0,0,0,20,17.8,0.0,0.0,1.8,45,1,0
75,213,2,90,0,0,0,3,0,0,0,0,0,19,22.2,10.0,0.0,3.2,45,2,0
76,213,3,90,0,0,1,0,0,0,0,0,0,36,0.0,0.0,0.0,0.0,45,7,1
77,532,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
78,532,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
79,245,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
80,245,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
81,245,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
82,252,1,90,0,0,0,3,0,0,0,0,0,9,3.8,0.0,0.0,0.4,60,1,0
83,252,2,90,0,0,1,0,0,0,0,0,2,41,47.2,0.0,0.0,4.7,60,14,1
84,252,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,0
85,267,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
86,267,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
87,278,2,90,0,0,0,1,0,0,0,0,0,11,5.0,0.0,0.0,0.5,60,2,0
88,278,3,90,0,0,0,5,0,0,0,0,0,13,0.0,0.0,0.0,0.0,60,0,0
89,538,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
90,538,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
91,289,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
92,289,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
93,291,2,90,0,0,0,3,0,0,0,0,0,12,16.6,0.0,0.0,1.7,55,1,0
94,291,3,90,0,0,0,2,0,0,0,0,0,13,25.8,0.0,0.0,2.6,55,2,0
95,305,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
96,305,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
97,325,1,90,0,0,1,0,0,0,0,0,0,26,27.0,0.0,0.0,2.7,50,7,1
98,325,2,90,0,0,0,3,0,0,0,0,0,16,17.8,0.0,0.0,1.8,50,2,0
99,325,3,90,0,0,0,1,0,0,0,0,0,34,0.0,0.0,0.0,0.0,50,5,0
100,326,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
101,326,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
102,326,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
103,488,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
104,488,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
105,488,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
106,348,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
107,348,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
108,348,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
109,350,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
