,element,GW,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_missed,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,value,total_points,threshold
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,70,0,0
1,1,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,69,0,0
2,1,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,69,0,0
3,4,1,90,1,0,1,0,0,0,1,0,0,19,36.6,15.3,54.0,10.6,120,7,1
4,4,2,90,0,1,0,1,0,0,0,0,0,20,28.0,36.4,15.0,7.9,120,5,0
5,4,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,119,0,0
6,9,1,77,0,0,1,0,0,0,0,0,0,11,6.8,17.2,21.0,4.5,55,3,0
7,9,2,90,0,0,0,1,0,0,0,0,0,10,16.4,6.7,0.0,2.3,55,2,0
8,9,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
9,18,1,15,0,0,0,0,0,0,0,0,0,3,2.0,15.3,6.0,2.3,80,1,0
10,18,2,26,0,0,0,0,0,0,0,0,0,3,1.0,2.3,8.0,1.1,79,1,0
11,18,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,78,0,0
12,19,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
13,19,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,0,0
14,19,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,0,0
15,20,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
16,20,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
17,20,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,0,0
18,21,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
19,21,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,0,0
20,21,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,0,0
21,23,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
22,23,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
23,23,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
24,24,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
25,24,2,88,0,0,0,1,0,0,0,0,0,8,7.4,20.3,30.0,5.8,54,2,0
26,24,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,0,0
27,25,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
28,25,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,0,0
29,25,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,0,0
30,26,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
31,26,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
32,26,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
33,478,1,74,0,3,1,0,0,0,0,0,2,35,38.6,38.0,38.0,11.5,80,14,1
34,478,2,63,0,0,0,1,0,0,0,0,0,11,6.4,20.9,4.0,3.1,81,2,0
35,478,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,81,0,0
36,501,1,12,0,0,0,0,0,0,0,0,0,6,5.2,1.3,4.0,1.1,50,1,0
37,501,2,90,0,1,0,1,0,0,0,0,3,31,52.4,23.9,20.0,9.6,50,8,1
38,501,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
39,526,1,90,0,0,1,0,0,0,0,0,0,15,10.6,3.8,18.0,3.2,45,3,0
40,526,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
41,526,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
42,30,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
43,30,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
44,33,2,61,0,0,1,0,0,0,0,0,0,13,6.8,37.6,3.0,4.7,60,3,0
45,33,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,0
46,34,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,0
47,34,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,0
48,37,2,90,0,0,1,0,0,0,0,0,0,10,7.0,40.6,49.0,9.7,70,3,0
49,37,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,70,0,0
50,38,2,90,0,0,1,0,0,0,1,0,0,6,4.8,36.4,19.0,6.0,55,2,0
51,38,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
